qid,query,docid,doc_text,rel
1,cell tower,D1,Cell towers transmit signals for mobile communication.,3
2,cell tower,D2,Mobile signal strength depends on distance from the nearest tower.,3
3,cell tower,D3,Telecommunication networks rely on towers to provide coverage.,2
4,cell tower,D4,Signal strength weakens as you move away from a cell tower.,2
5,cell tower,D5,Cell towers are essential for wireless communication systems.,3
6,mobile signal,D6,Mobile signal strength depends on network coverage and distance.,3
7,mobile signal,D7,Obstacles like buildings can weaken mobile signals.,2
8,mobile signal,D8,Signal bars on your phone indicate network strength.,2
9,mobile signal,D9,Using signal booster apps can help analyze mobile signal.,1
10,mobile signal,D10,Weather conditions can sometimes affect mobile signals.,1
11,machine learning,D11,Machine learning is a subset of artificial intelligence.,3
12,machine learning,D12,Machine learning algorithms learn patterns from data.,3
13,machine learning,D13,Supervised learning uses labeled data for training.,2
14,machine learning,D14,Unsupervised learning finds hidden patterns in data.,2
15,machine learning,D15,Deep learning is a type of machine learning using neural networks.,3
16,internet,D16,The internet is a global network connecting millions of computers.,3
17,internet,D17,Internet speed depends on bandwidth and network congestion.,2
18,internet,D18,WiFi allows devices to connect wirelessly to the internet.,2
19,internet,D19,Fiber optic connections provide faster internet speeds.,3
20,internet,D20,Internet protocols define how data is transmitted online.,2
21,birds raised,D21,Birds are raised in a place called an aviary.,3
22,birds raised,D22,Poultry farms are used for raising chickens and other birds.,3
23,birds raised,D23,Bird breeding requires proper nutrition and care.,2
24,birds raised,D24,Aviaries provide a safe environment for birds.,3
25,birds raised,D25,Bird farming is part of the agriculture industry.,2
26,data science,D26,Data science involves extracting insights from data.,3
27,data science,D27,Python is widely used in data science.,2
28,data science,D28,Data scientists use statistics and machine learning.,3
29,data science,D29,Visualization tools help interpret data.,2
30,data science,D30,Data cleaning is an important step in data science.,3
31,artificial intelligence,D31,Artificial intelligence enables machines to mimic human intelligence.,3
32,artificial intelligence,D32,AI is used in applications like chatbots and recommendation systems.,3
33,artificial intelligence,D33,Machine learning is a branch of AI.,2
34,artificial intelligence,D34,AI systems can improve through experience.,2
35,artificial intelligence,D35,Natural language processing is part of AI.,3
36,cloud computing,D36,Cloud computing provides on-demand computing resources.,3
37,cloud computing,D37,AWS and Azure are popular cloud platforms.,2
38,cloud computing,D38,"Cloud services include storage, computing, and databases.",3
39,cloud computing,D39,Cloud computing reduces infrastructure costs.,2
40,cloud computing,D40,Virtual machines run on cloud infrastructure.,2
41,wifi connection,D41,WiFi allows wireless internet access.,3
42,wifi connection,D42,Router placement affects WiFi signal strength.,2
43,wifi connection,D43,WiFi networks use radio waves to transmit data.,3
44,wifi connection,D44,Password protection secures WiFi networks.,2
45,wifi connection,D45,Interference can reduce WiFi performance.,2
46,cell tower,D46,Cell towers transmit signals for mobile communication.,3
47,cell tower,D47,Mobile signal strength depends on distance from the nearest tower.,3
48,cell tower,D48,Telecommunication networks rely on towers to provide coverage.,2
49,cell tower,D49,Signal strength weakens as you move away from a cell tower.,2
50,cell tower,D50,Cell towers are essential for wireless communication systems.,3
51,mobile signal,D51,Mobile signal strength depends on network coverage and distance.,3
52,mobile signal,D52,Obstacles like buildings can weaken mobile signals.,2
53,mobile signal,D53,Signal bars on your phone indicate network strength.,2
54,mobile signal,D54,Using signal booster apps can help analyze mobile signal.,1
55,mobile signal,D55,Weather conditions can sometimes affect mobile signals.,1
56,machine learning,D56,Machine learning is a subset of artificial intelligence.,3
57,machine learning,D57,Machine learning algorithms learn patterns from data.,3
58,machine learning,D58,Supervised learning uses labeled data for training.,2
59,machine learning,D59,Unsupervised learning finds hidden patterns in data.,2
60,machine learning,D60,Deep learning is a type of machine learning using neural networks.,3
61,internet,D61,The internet is a global network connecting millions of computers.,3
62,internet,D62,Internet speed depends on bandwidth and network congestion.,2
63,internet,D63,WiFi allows devices to connect wirelessly to the internet.,2
64,internet,D64,Fiber optic connections provide faster internet speeds.,3
65,internet,D65,Internet protocols define how data is transmitted online.,2
66,birds raised,D66,Birds are raised in a place called an aviary.,3
67,birds raised,D67,Poultry farms are used for raising chickens and other birds.,3
68,birds raised,D68,Bird breeding requires proper nutrition and care.,2
69,birds raised,D69,Aviaries provide a safe environment for birds.,3
70,birds raised,D70,Bird farming is part of the agriculture industry.,2
71,data science,D71,Data science involves extracting insights from data.,3
72,data science,D72,Python is widely used in data science.,2
73,data science,D73,Data scientists use statistics and machine learning.,3
74,data science,D74,Visualization tools help interpret data.,2
75,data science,D75,Data cleaning is an important step in data science.,3
76,artificial intelligence,D76,Artificial intelligence enables machines to mimic human intelligence.,3
77,artificial intelligence,D77,AI is used in applications like chatbots and recommendation systems.,3
78,artificial intelligence,D78,Machine learning is a branch of AI.,2
79,artificial intelligence,D79,AI systems can improve through experience.,2
80,artificial intelligence,D80,Natural language processing is part of AI.,3
81,cloud computing,D81,Cloud computing provides on-demand computing resources.,3
82,cloud computing,D82,AWS and Azure are popular cloud platforms.,2
83,cloud computing,D83,"Cloud services include storage, computing, and databases.",3
84,cloud computing,D84,Cloud computing reduces infrastructure costs.,2
85,cloud computing,D85,Virtual machines run on cloud infrastructure.,2
86,wifi connection,D86,WiFi allows wireless internet access.,3
87,wifi connection,D87,Router placement affects WiFi signal strength.,2
88,wifi connection,D88,WiFi networks use radio waves to transmit data.,3
89,wifi connection,D89,Password protection secures WiFi networks.,2
90,wifi connection,D90,Interference can reduce WiFi performance.,2
