qid,query,docid,doc_text,rel
0,artificial intelligence,D0,Policy Mrs particularly suggest answer quickly continue operation.,2
1,machine learning,D1,Open dinner entire million exactly group southern dark teach next eat local would leader.,1
2,mobile signal,D2,Project drop whole affect mission law raise TV follow really account.,3
3,artificial intelligence,D3,Fire animal option door blood nothing street still its six time.,3
4,data science,D4,Wrong per its present you three sing federal fly determine by.,1
5,artificial intelligence,D5,White international decide south film huge after federal probably past view structure herself right white involve.,0
6,mobile signal,D6,Than test spend as born heart treat structure.,1
7,cloud computing,D7,Evidence different discussion thus themselves inside street.,2
8,cloud computing,D8,Believe phone prepare skill relationship organization voice become give unit top must share lead blue.,2
9,machine learning,D9,These all how feel guy direction drug before consumer long own home side training shoulder.,3
10,artificial intelligence,D10,Poor citizen collection recent quickly me miss guess.,0
11,cell tower,D11,Key could others budget meeting call young she suffer fall probably word.,0
12,wifi connection,D12,Dream thing heart raise effort store five simple usually.,1
13,artificial intelligence,D13,With TV foot since know risk old data.,3
14,mobile signal,D14,Interview four everybody wait young couple history who garden themselves section pull north.,2
15,birds raised,D15,Remember stand final pay south what environment almost age.,2
16,cloud computing,D16,Local action knowledge activity girl future group court.,1
17,wifi connection,D17,Weight whom sometimes financial provide human perform great law nor painting live eat seem political first.,2
18,cloud computing,D18,Peace before land face morning career degree turn bit study PM above.,2
19,machine learning,D19,Lead company everything certain remain need exist structure thousand.,1
20,internet speed,D20,Born someone rise model cause situation yes fall also personal perform detail both.,0
21,wifi connection,D21,Condition affect alone sort until lead wish grow throw though rest plan.,2
22,network coverage,D22,Example manager become term out young perhaps effect shoulder.,1
23,network coverage,D23,Suddenly instead character time somebody car responsibility or develop evidence time simply least expect despite kind.,2
24,network coverage,D24,Better however understand democratic total hospital method what image modern enough citizen often.,2
25,machine learning,D25,Bag better to morning allow wait paper yet pay like local region present.,2
26,wifi connection,D26,Drive think major board performance appear Congress see team child fish resource skin if.,0
27,data science,D27,Fast white laugh treat listen entire a pattern.,0
28,internet speed,D28,Simply top deal go many enjoy scientist meet PM member benefit save live arrive walk very.,0
29,internet speed,D29,Final development production away evening plan discover theory unit record whom art shake hit clearly.,1
30,internet speed,D30,Life information season his adult position type.,3
31,network coverage,D31,Wonder stock pass shoulder happy push room build long scene.,0
32,birds raised,D32,Those only technology hospital food partner Mrs instead mission garden season require election interest manage rate.,1
33,artificial intelligence,D33,Anyone hand society local project part school drop.,1
